Temperatura;Humedad;VelViento;GDF;DiffusalF;Zona1
6.56;73.80;0.08;0.05;0.12;34055.70
6.41;74.50;0.08;0.07;0.09;29814.68
6.31;74.50;0.08;0.06;0.10;29128.10
6.12;75.00;0.08;0.09;0.10;28228.86
5.92;75.70;0.08;0.05;0.09;27335.70
5.85;76.90;0.08;0.06;0.11;26624.81
5.64;77.70;0.08;0.05;0.10;25998.99
5.50;78.20;0.09;0.06;0.09;25446.08
5.68;78.10;0.08;0.07;0.14;24777.72
5.49;77.30;0.08;0.06;0.11;24279.49
5.52;77.50;0.08;0.05;0.11;23896.71
5.47;76.70;0.08;0.06;0.13;23544.30
5.06;78.60;0.08;0.07;0.10;23003.54
4.97;78.80;0.08;0.07;0.13;22329.11
4.98;78.90;0.08;0.06;0.15;22092.15
4.90;79.10;0.08;0.07;0.10;21903.80
5.02;79.70;0.08;0.05;0.13;21685.06
5.41;78.50;0.08;0.06;0.16;21484.56
5.17;77.90;0.08;0.07;0.11;21107.85
5.08;77.70;0.08;0.05;0.13;20998.48
5.04;77.20;0.08;0.06;0.15;20870.89
5.03;76.90;0.08;0.05;0.19;20870.89
4.90;76.60;0.09;0.07;0.14;20597.47
4.81;76.20;0.08;0.06;0.13;20421.27
4.75;75.70;0.08;0.04;0.13;20524.56
4.90;74.40;0.08;0.07;0.12;20482.03
5.20;74.10;0.09;0.06;0.10;20530.63
5.39;71.90;0.08;0.07;0.10;20512.41
5.16;74.00;0.08;0.06;0.15;20494.18
5.18;74.20;0.08;0.04;0.14;20311.90
4.93;72.90;0.08;0.06;0.13;20542.78
4.72;75.80;0.08;0.05;0.15;20621.77
5.55;74.00;0.08;0.06;0.09;20627.85
4.66;73.50;0.08;0.04;0.10;20797.97
4.38;76.90;0.08;0.07;0.15;20858.73
4.21;78.30;0.08;0.12;0.08;21393.42
4.31;77.20;0.08;0.06;0.13;22219.75
4.74;74.30;0.08;0.04;0.16;21928.10
4.77;75.60;0.08;0.10;0.06;21776.20
4.92;73.70;0.08;0.10;0.10;21654.68
4.41;76.70;0.08;0.04;0.12;21466.33
4.29;77.00;0.09;0.03;0.19;20846.58
